country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Moldova, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Monaco, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mongolia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Montenegro, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Morocco, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Mozambique, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
MS Zaandam, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Namibia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Nepal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Netherlands, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
New Zealand, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Nicaragua, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Niger, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Nigeria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
North Macedonia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Norway, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Oman, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Pakistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Panama, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Papua New Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Paraguay, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Peru, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Philippines, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Poland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Portugal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Qatar, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Romania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Russia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Rwanda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Saint Kitts and Nevis, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Saint Lucia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
