country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime,continent
Czechia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Denmark, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Diamond Princess, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Other
Djibouti, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Dominica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Dominican Republic, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Ecuador, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Egypt, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
El Salvador, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Equatorial Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Eritrea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Estonia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Eswatini, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Ethiopia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Fiji, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Oceania
Finland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
France, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Gabon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Gambia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Georgia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Germany, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Ghana, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Greece, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Grenada, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Guatemala, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Guinea-Bissau, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Guyana, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Haiti, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Holy See, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Honduras, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Hungary, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Iceland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
India, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Indonesia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Iran, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Iraq, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Ireland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Israel, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Italy, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Jamaica, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Japan, 1/22/2020,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2020-01-22,Asia
Jordan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Kazakhstan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Kenya, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
"Korea, South", 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22,Asia
Kosovo, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Kuwait, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Kyrgyzstan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Laos, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Latvia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Lebanon, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Liberia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Libya, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Liechtenstein, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Lithuania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Luxembourg, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Madagascar, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Malaysia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Maldives, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Mali, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Malta, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Mauritania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Mauritius, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Mexico, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Moldova, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Monaco, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Mongolia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Montenegro, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Morocco, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Mozambique, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
MS Zaandam, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Other
Namibia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Nepal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Netherlands, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
New Zealand, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Oceania
Nicaragua, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Niger, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Nigeria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
North Macedonia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Norway, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Oman, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Pakistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Panama, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Papua New Guinea, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Oceania
Paraguay, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Peru, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Philippines, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Poland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Portugal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Qatar, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Romania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Russia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Rwanda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Saint Kitts and Nevis, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Saint Lucia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Saint Vincent and the Grenadines, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
San Marino, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Saudi Arabia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Senegal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Serbia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Seychelles, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Singapore, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Slovakia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Slovenia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Somalia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
South Africa, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Spain, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Sri Lanka, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Sudan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Suriname, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Sweden, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Switzerland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Syria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Taiwan*, 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22,Asia
Tanzania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Thailand, 1/22/2020,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2020-01-22,Asia
Timor-Leste, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Togo, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Trinidad and Tobago, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,North America
Tunisia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Turkey, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Uganda, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Ukraine, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
United Arab Emirates, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
United Kingdom, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Europe
Uruguay, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
US, 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22,North America
Uzbekistan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Venezuela, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,South America
Vietnam, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
West Bank and Gaza, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Asia
Zambia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Zimbabwe, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Botswana, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22,Africa
Afghanistan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Albania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Algeria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Andorra, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Angola, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Antigua and Barbuda, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Argentina, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Armenia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Australia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Oceania
Austria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Azerbaijan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Bahamas, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Bahrain, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Bangladesh, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Barbados, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Belarus, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Belgium, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Belize, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Benin, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Bhutan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Bolivia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Bosnia and Herzegovina, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Brazil, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Brunei, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Bulgaria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Burkina Faso, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Burma, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Cabo Verde, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Cambodia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Cameroon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Canada, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Central African Republic, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Chad, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Chile, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
China, 1/23/2020,643.0,95.0,95.0,18.0,1.0,0.027993779160186624,0.010526315789473684,2020-01-23,Asia
Colombia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Congo (Brazzaville), 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Congo (Kinshasa), 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Costa Rica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Cote d'Ivoire, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Croatia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Cuba, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Cyprus, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Czechia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Denmark, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Diamond Princess, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Other
Djibouti, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Dominica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Dominican Republic, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Ecuador, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Egypt, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
El Salvador, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Equatorial Guinea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Eritrea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Estonia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Eswatini, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Ethiopia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Fiji, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Oceania
Finland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
France, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Gabon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Gambia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Georgia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Germany, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Ghana, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Greece, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Grenada, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Guatemala, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Guinea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Guinea-Bissau, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Guyana, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,South America
Haiti, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Holy See, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Honduras, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Hungary, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Iceland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
India, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Indonesia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Iran, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Iraq, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Ireland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Israel, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Italy, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Jamaica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Japan, 1/23/2020,2.0,0.0,0.0,0.0,0.0,0.0,,2020-01-23,Asia
Jordan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Kazakhstan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Kenya, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
"Korea, South", 1/23/2020,1.0,0.0,0.0,0.0,0.0,0.0,,2020-01-23,Asia
Kosovo, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Kuwait, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Kyrgyzstan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Laos, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Latvia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Lebanon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Liberia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Libya, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Liechtenstein, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Lithuania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Luxembourg, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Madagascar, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Malaysia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Maldives, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Mali, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Malta, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Mauritania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Mauritius, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Mexico, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,North America
Moldova, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Monaco, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Mongolia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Montenegro, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
Morocco, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Mozambique, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
MS Zaandam, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Other
Namibia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Africa
Nepal, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Asia
Netherlands, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23,Europe
