Row Labels, 1/22/2020, 1/23/2020, 1/24/2020, 1/25/2020, 1/26/2020, 1/27/2020, 1/28/2020, 1/29/2020, 1/30/2020, 1/31/2020, 2/1/2020, 2/2/2020, 2/3/2020, 2/4/2020, 2/5/2020, 2/6/2020, 2/7/2020, 2/8/2020, 2/9/2020, 2/10/2020, 2/11/2020, 2/12/2020, 2/13/2020, 2/14/2020, 2/15/2020, 2/16/2020, 2/17/2020, 2/18/2020, 2/19/2020, 2/20/2020, 2/21/2020, 2/22/2020, 2/23/2020, 2/24/2020, 2/25/2020, 2/26/2020, 2/27/2020, 2/28/2020, 2/29/2020, 3/1/2020, 3/2/2020, 3/3/2020, 3/4/2020, 3/5/2020, 3/6/2020, 3/7/2020, 3/8/2020, 3/9/2020, 3/10/2020, 3/11/2020, 3/12/2020, 3/13/2020, 3/14/2020, 3/15/2020, 3/16/2020, 3/17/2020, 3/18/2020, 3/19/2020, 3/20/2020, 3/21/2020, 3/22/2020, 3/23/2020, 3/24/2020, 3/25/2020, 3/26/2020, 3/27/2020, 3/28/2020, 3/29/2020, 3/30/2020, 3/31/2020, 4/1/2020, 4/2/2020, 4/3/2020, 4/4/2020, 4/5/2020, 4/6/2020,country,continent
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.6,0.6,0.6,0.6,0.2,0.4,0.4,0.6,0.4,0.4,0.2,0.2,0,0.2,0.2,Cabo Verde,Africa
Cambodia,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.4,0.6,1,1,0.8,6,6,6,8.8,9.2,10.2,10.4,10.8,9,8.6,3,2.4,2.4,2.2,2.6,2,2.2,2.2,1.4,1,Cambodia,Asia
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0,0,0,0.4,1.6,1.6,2.2,3.6,4.6,6,9.2,10.6,11,9.6,10.2,7,14.6,12.8,23.6,28.4,43,74,83.2,91.4,Cameroon,Africa
Canada,0,0,0,0,1,0.2,0.2,0.4,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,0.4,0.4,0.2,0.2,0.6,0.6,0.6,0.4,0.4,0,0,0,0,0,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.6000000000000001,0.4,0.8,1,1.9999999999999998,2.6000000000000005,3.2,3.4,3.8,3.4000000000000004,5.000000000000001,5.4,6.8,8.799999999999999,8.399999999999999,11.8,12.599999999999998,25.8,24.200000000000003,34.6,61.4,72.20000000000002,92.80000000000001,120.4,138.2,172.39999999999998,198.20000000000002,286.20000000000005,397.99999999999994,461.59999999999997,553,642.6000000000001,697.6,698,829.4,896.9999999999999,975.6,1141.6000000000001,1231.4,1116,1445.8,Canada,North America
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,1,1,1,Central African Republic,Africa
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0,0.4,0.8,0.8,1,1,0.8,0.4,Chad,Africa
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,0.8,0.8,1.4,1.4,1.8,3.8,3.8,7,10.6,12.2,26.4,35.6,39,35.4,72,76.4,86.2,101.6,136.8,141.6,153.8,195.6,232.6,243.4,261.4,286.4,284.2,299,319.6,342.4,346.6,Chile,South America
China,548,95,277,486,669,415,465.8,973.2,1033.4000000000003,1347,1545.3999999999999,1802.8,2224.1999999999994,2725.8,3113.2,3527.6000000000004,3739.2000000000007,3495.9999999999995,3419.5999999999995,3224.3999999999996,2982.799999999999,2759.8,2129.7999999999997,4616.2,5305.799999999999,5211.799999999998,5225.399999999999,5535,2863.2000000000003,1652.2,1332.7999999999997,1007.4,913.4,562.1999999999999,524.4000000000001,535.4,523.2,319.7999999999999,381.1999999999999,422.9999999999999,435.5999999999999,393.9999999999999,332.19999999999993,291.6,236.20000000000002,151.6,126.8,112.4,94.80000000000001,70,46.2,32.4,24.400000000000002,23.399999999999995,23.2,22.399999999999995,25.199999999999996,31.399999999999995,35.800000000000004,49.4,54.400000000000006,75.4,79.2,87,82.20000000000003,95.40000000000002,92.39999999999999,100.19999999999997,106.2,107.39999999999998,99.39999999999998,92.80000000000003,86.60000000000002,77.8,69.00000000000001,64.60000000000001,China,Asia
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.6,1.6,1.6,2.4,4.2,6.2,9,11.2,16,16,18.8,28.4,33.2,36.8,55.2,68.4,59,61.6,66.2,64.8,65.6,83,105.2,110.6,113,121.6,115.8,Colombia,South America
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.6,0.4,0.4,0.4,0.6,0.2,0.2,0.2,0.2,0,3,3,3,3,3.6,0.6,0.6,5.2,Congo (Brazzaville),Africa
